Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,OwnPlanner.Web\OwnPlanner.Web.Server\OwnPlanner.Web.Server.csproj,File,OwnPlanner.Web\OwnPlanner.Web.Server\OwnPlanner.Web.Server.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 9.0.*,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 9.0.*  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.5"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,OwnPlanner.Web\OwnPlanner.Web.Server\OwnPlanner.Web.Server.csproj,File,OwnPlanner.Web\OwnPlanner.Web.Server\OwnPlanner.Web.Server.csproj,,,Microsoft.VisualStudio.Azure.Containers.Tools.Targets 1.23.0,,,,,"Microsoft.VisualStudio.Azure.Containers.Tools.Targets, 1.23.0  Recommendation:  No supported version found"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,OwnPlanner.Web\OwnPlanner.Web.Server\OwnPlanner.Web.Server.csproj,File,OwnPlanner.Web\OwnPlanner.Web.Server\OwnPlanner.Web.Server.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,OwnPlanner.Web\OwnPlanner.Web.Server\OwnPlanner.Web.Server.csproj,File,OwnPlanner.Web\OwnPlanner.Web.Server\Middleware\GlobalExceptionHandler.cs,10,39,T:Microsoft.AspNetCore.Diagnostics.IExceptionHandler,,,,,IExceptionHandler
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OwnPlanner.Web\OwnPlanner.Web.Server\OwnPlanner.Web.Server.csproj,File,OwnPlanner.Web\OwnPlanner.Web.Server\Services\ChatSessionManager.cs,148,5,M:System.TimeSpan.FromSeconds(System.Int64),,,,,session.DisposeAsync().AsTask().Wait(TimeSpan.FromSeconds(5));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OwnPlanner.Web\OwnPlanner.Web.Server\OwnPlanner.Web.Server.csproj,File,OwnPlanner.Web\OwnPlanner.Web.Server\Services\ChatSessionManager.cs,25,3,M:System.TimeSpan.FromMinutes(System.Int64),,,,,"_cleanupTimer = new Timer(_ => _ = CleanupInactiveSessionsAsync(), null, TimeSpan.FromMinutes(5), TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OwnPlanner.Web\OwnPlanner.Web.Server\OwnPlanner.Web.Server.csproj,File,OwnPlanner.Web\OwnPlanner.Web.Server\Services\ChatSessionManager.cs,25,3,M:System.TimeSpan.FromMinutes(System.Int64),,,,,"_cleanupTimer = new Timer(_ => _ = CleanupInactiveSessionsAsync(), null, TimeSpan.FromMinutes(5), TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OwnPlanner.Web\OwnPlanner.Web.Server\OwnPlanner.Web.Server.csproj,File,OwnPlanner.Web\OwnPlanner.Web.Server\Services\ChatSessionManager.cs,25,3,M:System.TimeSpan.FromMinutes(System.Int64),,,,,"_cleanupTimer = new Timer(_ => _ = CleanupInactiveSessionsAsync(), null, TimeSpan.FromMinutes(5), TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OwnPlanner.Web\OwnPlanner.Web.Server\OwnPlanner.Web.Server.csproj,File,OwnPlanner.Web\OwnPlanner.Web.Server\Services\ChatSessionManager.cs,25,3,M:System.TimeSpan.FromMinutes(System.Int64),,,,,"_cleanupTimer = new Timer(_ => _ = CleanupInactiveSessionsAsync(), null, TimeSpan.FromMinutes(5), TimeSpan.FromMinutes(5));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,OwnPlanner.Web\OwnPlanner.Web.Server\OwnPlanner.Web.Server.csproj,File,OwnPlanner.Web\OwnPlanner.Web.Server\Program.cs,123,4,M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder),,,,,app.UseExceptionHandler();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OwnPlanner.Web\OwnPlanner.Web.Server\OwnPlanner.Web.Server.csproj,File,OwnPlanner.Web\OwnPlanner.Web.Server\Program.cs,72,6,M:System.TimeSpan.FromDays(System.Int32),,,,,options.ExpireTimeSpan = TimeSpan.FromDays(7);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OwnPlanner.Web\OwnPlanner.Web.Server\OwnPlanner.Web.Server.csproj,File,OwnPlanner.Web\OwnPlanner.Web.Server\Program.cs,57,4,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,"builder.Services.Configure<ChatSettings>(builder.Configuration.GetSection(""Chat""));"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,OwnPlanner.Web.Server.Tests\OwnPlanner.Web.Server.Tests.csproj,File,OwnPlanner.Web.Server.Tests\OwnPlanner.Web.Server.Tests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
